snippet_id,snippet_path,return_code,solved,elapsed_seconds,status,error
299905,/gists/299905/snippet.py,0,False,6.1,failed,
29c51b6997c3e3bff568,/gists/29c51b6997c3e3bff568/snippet.py,0,True,8.8,solved,
2a1df455e7643926739e934e910cbf2e,/gists/2a1df455e7643926739e934e910cbf2e/snippet.py,0,True,37.4,solved,
2a5d283b0d279ea96c26,/gists/2a5d283b0d279ea96c26/snippet.py,0,True,5.0,solved,
2aa18ba3b821b2f580a2,/gists/2aa18ba3b821b2f580a2/snippet.py,0,False,7.0,failed,
2aa430e00dde0cf905a9,/gists/2aa430e00dde0cf905a9/snippet.py,0,False,29.8,failed,
2b19fd6f758ffd2e8ab9ec7d1f3f4b2c,/gists/2b19fd6f758ffd2e8ab9ec7d1f3f4b2c/snippet.py,0,True,36.5,solved,
2b2abbb88b5d2b4f4e5adde42975fd0f,/gists/2b2abbb88b5d2b4f4e5adde42975fd0f/snippet.py,0,False,4.9,failed,
2b3003f44b3ddf5931c9a5e61d8ba417,/gists/2b3003f44b3ddf5931c9a5e61d8ba417/snippet.py,0,False,116.2,failed,
2b83b1c47a18448d3cbf,/gists/2b83b1c47a18448d3cbf/snippet.py,0,False,38.7,failed,
2b8e2e05cf05a630b132,/gists/2b8e2e05cf05a630b132/snippet.py,0,True,16.3,solved,
2bcca0a7654168ef454f,/gists/2bcca0a7654168ef454f/snippet.py,0,True,29.2,solved,
2c0d9e1a0012065bb56c,/gists/2c0d9e1a0012065bb56c/snippet.py,0,False,8.0,failed,
2c6abf964810ed74802c,/gists/2c6abf964810ed74802c/snippet.py,0,True,27.2,solved,
2c7b95beed642248487a,/gists/2c7b95beed642248487a/snippet.py,0,False,12.8,failed,
2cb9c79df7a58db9e5ec,/gists/2cb9c79df7a58db9e5ec/snippet.py,0,False,8.2,failed,
2cf4998949f49b58ff284239784e1561,/gists/2cf4998949f49b58ff284239784e1561/snippet.py,0,False,15.1,failed,
2d4a4a8be57a9b8e94c7a4903d8d8bf8,/gists/2d4a4a8be57a9b8e94c7a4903d8d8bf8/snippet.py,0,True,9.3,solved,
2d6bbffce9dda5f3057b4879c3bd4422,/gists/2d6bbffce9dda5f3057b4879c3bd4422/snippet.py,0,True,9.3,solved,
2d971a5a087881a966c3,/gists/2d971a5a087881a966c3/snippet.py,0,True,6.0,solved,
2da57d5b039aab4da7ce,/gists/2da57d5b039aab4da7ce/snippet.py,0,False,4.7,failed,
2db1522dbfc5fe58b52c,/gists/2db1522dbfc5fe58b52c/snippet.py,0,False,16.1,failed,
2de2e9a156fe619dbdad762fe1cf84e1,/gists/2de2e9a156fe619dbdad762fe1cf84e1/snippet.py,0,True,37.6,solved,
2de48835250e5fceaa1b626099abfa53,/gists/2de48835250e5fceaa1b626099abfa53/snippet.py,0,True,77.9,solved,
2e0cbef7d50e8e7ef2d2,/gists/2e0cbef7d50e8e7ef2d2/snippet.py,0,False,11.8,failed,
2e11b48f431c53b101db6cb817b2fc7f,/gists/2e11b48f431c53b101db6cb817b2fc7f/snippet.py,0,True,4.9,solved,
2e3b989e0343f0884388ed7ed82eb3b0,/gists/2e3b989e0343f0884388ed7ed82eb3b0/snippet.py,0,True,54.9,solved,
2e466ff4e6b3425aba3c,/gists/2e466ff4e6b3425aba3c/snippet.py,0,False,29.7,failed,
2e90566e9497725065388859762a7185,/gists/2e90566e9497725065388859762a7185/snippet.py,0,False,349.0,failed,
2ec85f1f8fe0d4f44b6f,/gists/2ec85f1f8fe0d4f44b6f/snippet.py,0,False,10.7,failed,
2eec49ca1e4f58c5310d72918d991ef6,/gists/2eec49ca1e4f58c5310d72918d991ef6/snippet.py,0,True,29.8,solved,
2f0a1118edb70de95f6859cfa979fad5,/gists/2f0a1118edb70de95f6859cfa979fad5/snippet.py,0,True,4.9,solved,
2f1b9a255993bf9b2629,/gists/2f1b9a255993bf9b2629/snippet.py,0,True,15.8,solved,
2f8370ee83ab074f5b5e,/gists/2f8370ee83ab074f5b5e/snippet.py,0,False,14.5,failed,
2f8f55987ccc224e2342,/gists/2f8f55987ccc224e2342/snippet.py,0,False,29.9,failed,
2f904cb32be20d808481e04f5dd7fe0c,/gists/2f904cb32be20d808481e04f5dd7fe0c/snippet.py,0,False,162.1,failed,
2fe1c16a7cc27ef01c1f,/gists/2fe1c16a7cc27ef01c1f/snippet.py,0,True,25.1,solved,
2ff89e40721d1f1a007449f02aee3990,/gists/2ff89e40721d1f1a007449f02aee3990/snippet.py,0,False,3.3,failed,
3001099,/gists/3001099/snippet.py,0,True,9.7,solved,
3004168,/gists/3004168/snippet.py,0,False,15.5,failed,
3009143,/gists/3009143/snippet.py,0,False,46.9,failed,
3012089,/gists/3012089/snippet.py,0,False,4.4,failed,
3012306,/gists/3012306/snippet.py,0,False,11.2,failed,
3012318,/gists/3012318/snippet.py,0,False,11.4,failed,
3013470,/gists/3013470/snippet.py,0,True,4.9,solved,
3015625,/gists/3015625/snippet.py,0,True,6.9,solved,
3015852,/gists/3015852/snippet.py,0,True,56.5,solved,
3018527,/gists/3018527/snippet.py,0,False,70.6,failed,
3018bf3643f80798bde75c17571a38a9,/gists/3018bf3643f80798bde75c17571a38a9/snippet.py,0,True,12.6,solved,
3019988,/gists/3019988/snippet.py,0,False,46.4,failed,
3023497,/gists/3023497/snippet.py,0,False,3.2,failed,
3037448,/gists/3037448/snippet.py,0,False,37.3,failed,
3039696,/gists/3039696/snippet.py,0,False,55.4,failed,
3040846,/gists/3040846/snippet.py,0,False,35.3,failed,
3042651,/gists/3042651/snippet.py,0,True,5.5,solved,
3047772,/gists/3047772/snippet.py,0,False,185.4,failed,
304963,/gists/304963/snippet.py,0,False,4.9,failed,
304a77371c9e207a5fa42a6b874017d5,/gists/304a77371c9e207a5fa42a6b874017d5/snippet.py,0,True,9.0,solved,
305322,/gists/305322/snippet.py,0,False,35.7,failed,
3057138,/gists/3057138/snippet.py,0,False,16.3,failed,
3077639,/gists/3077639/snippet.py,0,False,183.8,failed,
3078465,/gists/3078465/snippet.py,0,False,15.4,failed,
3078764,/gists/3078764/snippet.py,0,False,9.1,failed,
3079065,/gists/3079065/snippet.py,0,False,52.6,failed,
3081369,/gists/3081369/snippet.py,0,False,6.9,failed,
3083085,/gists/3083085/snippet.py,0,False,5.0,failed,
30839ae0280a5077b8669757e5efa75d,/gists/30839ae0280a5077b8669757e5efa75d/snippet.py,0,False,8.1,failed,
3089556,/gists/3089556/snippet.py,0,False,15.8,failed,
3094847,/gists/3094847/snippet.py,0,True,5.6,solved,
3097851,/gists/3097851/snippet.py,0,True,5.3,solved,
309bed093f6a7084c855,/gists/309bed093f6a7084c855/snippet.py,0,True,32.1,solved,
30a5138e41cba69dc81c,/gists/30a5138e41cba69dc81c/snippet.py,0,True,31.2,solved,
30d2e626772e84edd688ba717a766c89,/gists/30d2e626772e84edd688ba717a766c89/snippet.py,0,False,20.4,failed,
31122eb9e4c0af8adeca,/gists/31122eb9e4c0af8adeca/snippet.py,0,True,11.3,solved,
3113810,/gists/3113810/snippet.py,0,False,12.5,failed,
3116927,/gists/3116927/snippet.py,0,True,4.9,solved,
3128835,/gists/3128835/snippet.py,0,True,15.2,solved,
3129692,/gists/3129692/snippet.py,0,True,22.5,solved,
3130141,/gists/3130141/snippet.py,0,False,17.4,failed,
313753,/gists/313753/snippet.py,0,False,24.7,failed,
313761,/gists/313761/snippet.py,0,False,22.6,failed,
3141128,/gists/3141128/snippet.py,0,False,5.3,failed,
3141140,/gists/3141140/snippet.py,0,False,15.0,failed,
3144636,/gists/3144636/snippet.py,0,True,11.2,solved,
3148833,/gists/3148833/snippet.py,0,True,5.4,solved,
3151375,/gists/3151375/snippet.py,0,False,12.3,failed,
3153844,/gists/3153844/snippet.py,0,False,6.9,failed,
3158388,/gists/3158388/snippet.py,0,True,13.2,solved,
3163938,/gists/3163938/snippet.py,0,False,10.7,failed,
3166d6123bd26c066c462328bebcf0c0,/gists/3166d6123bd26c066c462328bebcf0c0/snippet.py,0,False,5.9,failed,
3167162,/gists/3167162/snippet.py,0,False,7.9,failed,
3167821,/gists/3167821/snippet.py,0,True,9.9,solved,
3168336,/gists/3168336/snippet.py,0,False,7.0,failed,
317164,/gists/317164/snippet.py,0,True,5.8,solved,
3178905,/gists/3178905/snippet.py,0,True,37.3,solved,
3181989,/gists/3181989/snippet.py,0,False,3.1,failed,
3197a2bae38f77799ea8,/gists/3197a2bae38f77799ea8/snippet.py,0,True,128.5,solved,
31ccafbfceac2ed88974,/gists/31ccafbfceac2ed88974/snippet.py,0,True,102.4,solved,
31eee50b9aaebf387b380f70054575c5,/gists/31eee50b9aaebf387b380f70054575c5/snippet.py,0,True,58.9,solved,
3205bf5aab78623c5ee5,/gists/3205bf5aab78623c5ee5/snippet.py,0,True,13.1,solved,
