snippet_path,python_version,status,iterations,elapsed_seconds,used_knowledge_graph,requirements,final_error_type
/gists/00056d4304c58a035c87cdf5ff1e5e3e/snippet.py,3.8,success,2,23.43,True,"{""scrapy"": ""2.5.1""}",unknown
/gists/000eccf3d66540d75def/snippet.py,3.8,success,1,19.71,False,{},
/gists/00135b0dfee0ae165ad2/snippet.py,3.8,failed,5,58.02,True,"{""PyQt5"": ""5.15.8"", ""sip"": ""4.20.8"", ""maya"": ""2023"", ""maya.cmds"": ""*"", ""maya.mel"": ""*""}",unknown
/gists/005bbad123ef309a5bef/snippet.py,3.8,failed,5,72.46,False,"{""requests"": ""2.28.1""}",unknown
/gists/005ceac0483fc5a581cc/snippet.py,3.8,failed,5,81.82,False,"{""requests"": ""2.28.1""}",unknown
/gists/00a17b1d374dfc267a9a/snippet.py,3.8,failed,5,79.68,False,"{""requests"": ""2.28.1""}",unknown
/gists/00a4835bf36513ca58a3/snippet.py,3.8,failed,5,53.97,False,"{""c4d"": ""latest""}",no_matching_distribution
/gists/00e9638c0efad1adac878522cf172484/snippet.py,3.8,failed,5,65.59,True,"{""gym"": ""0.21.0"", ""keras"": ""2.8.0"", ""numpy"": ""1.23.5"", ""tensorflow"": ""2.9.1""}",version_conflict
/gists/011004bcac763eaf6f28/snippet.py,3.8,failed,5,39.48,True,"{""libxmp"": ""0.2.0""}",no_matching_distribution
/gists/0115e0ce312f26ff59f4fbf4f5821ca2/snippet.py,3.8,failed,5,61.98,False,"{""requests"": ""2.28.2""}",no_matching_distribution
/gists/015e2ce27cecdea63564/snippet.py,3.8,failed,5,78.54,False,"{""requests"": ""2.28.1""}",unknown
/gists/01886b6f79ba0c4dce66/snippet.py,3.8,success,1,14.08,True,"{""django"": ""3.1""}",
/gists/0191e14717af68bbba81/snippet.py,3.8,success,1,24.88,True,"{""pyspark"": ""2.3.2""}",
/gists/019fd5c706e0bc94879f/snippet.py,3.8,failed,5,80.48,False,"{""requests"": ""2.28.1""}",unknown
/gists/01b8b8e1909ae0f601c85e142f2bd15b/snippet.py,3.8,failed,5,87.52,False,"{""requests"": ""2.28.1"", ""beautifulsoup4"": ""4.12.0"", ""numpy"": ""1.24.1""}",unknown
/gists/01bf3900d3a02c4e3927b2a2bcf39100/snippet.py,3.8,failed,5,73.64,False,{},unknown
/gists/01c99322cf985e771827/snippet.py,3.8,failed,5,38.35,True,"{""PyObjC"": ""6.1.0""}",missing_system_dep
/gists/026a4d6400b1efac9a13a3296f16e655/snippet.py,3.8,failed,5,92.33,True,"{""gensim"": ""4.1.3"", ""tensorflow"": ""2.10.0""}",missing_system_dep
/gists/02ff378b3a91de94306a84d3aa2228bb/snippet.py,3.8,failed,5,46.25,True,"{""azure-core"": ""^1.11.0""}",no_matching_distribution
/gists/0306734dfe17076dfd34e09660c198c0/snippet.py,3.8,failed,5,62.52,True,"{""fiona"": ""1.10.0"", ""geojson"": ""3.1.0"", ""geopandas"": ""0.13.2"", ""numpy"": ""1.23.5"", ""pandas"": ""1.5.3"", ""shapefile"": ""0.9.1"", ""shapely"": ""2.0.6""}",no_matching_distribution
/gists/034e799c19eb763fa859/snippet.py,3.8,success,1,14.09,True,"{""django"": ""3.1""}",
/gists/035dc3b722b7f89cce66520dde285c9a/snippet.py,3.8,failed,5,63.89,False,"{""requests"": ""^2.28.1""}",unknown
/gists/037e4134d8271c0de71b838a461e7ac1/snippet.py,3.8,failed,5,73.79,False,{},unknown
/gists/03d9c46c86691c9bb680/snippet.py,3.8,failed,5,79.13,False,"{""requests"": ""2.28.1"", ""beautifulsoup4"": ""4.11.1"", ""urllib3"": ""1.26.12""}",unknown
/gists/03de5c4c21138da5c29d/snippet.py,3.8,failed,5,161.62,True,"{""IPython"": ""8.0.0"", ""numpy"": ""1.23.5"", ""tensorflow"": ""2.10.0""}",missing_system_dep
/gists/044682e76def583a12e6c09209c664a1/snippet.py,3.8,failed,5,92.18,False,"{""nltk"": ""3.6.6"", ""scikit-learn"": ""1.1.2""}",no_matching_distribution
/gists/045c887b6ccdf0edf4648da0c40bcc12/snippet.py,3.8,success,2,82.36,True,"{""torch"": ""2.0.0""}",no_matching_distribution
/gists/046e434c51057dc9588762edd40199b1/snippet.py,3.8,failed,5,77.27,False,"{""pyobjc"": ""7.0.0"", ""pyobjc-framework-Foundation"": ""6.3.0"", ""pyobjc-framework-SystemConfiguration"": ""7.0.0""}",no_matching_distribution
/gists/04c2b5ce5978c0d66e6e/snippet.py,3.8,failed,5,64.63,False,"{""clipboard"": ""2.0.8"", ""console"": ""0.12.0"", ""editor"": ""0.1.0"", ""urllib3"": ""^1.26.14""}",no_matching_distribution
/gists/04ef258fa29e4e685287a30cf60462d0/snippet.py,3.8,failed,5,78.69,True,"{""flotilla"": ""0.13.1""}",no_matching_distribution
/gists/04f3047ca8770f4a3a58/snippet.py,3.8,failed,5,47.79,True,"{""my_project"": ""0.0.1"", ""scrapy"": ""2.7.1"", ""twisted"": ""21.3.0""}",no_matching_distribution
/gists/051e881fc94fe4a49295/snippet.py,3.8,success,1,16.74,True,"{""impacket"": ""0.12.0""}",
/gists/053b89bd6975f89f043871335dce8c5b/snippet.py,3.8,success,3,28.17,True,"{""requests"": ""2.28.2""}",no_matching_distribution
/gists/053db410f7fdd4e1d6034a0a7fd45d9b/snippet.py,3.8,failed,5,59.14,False,"{""cryptography"": ""3.6.8"", ""requests"": ""2.28.1""}",no_matching_distribution
/gists/054023c4fca5369ffdb2/snippet.py,3.8,failed,5,46.45,True,"{""clipboard"": ""2.0.3"", ""idaapi"": ""7.4"", ""idautils"": ""0.12.0""}",no_matching_distribution
/gists/056626de3fbdc7cf7b59de1d9f6279d1/snippet.py,3.8,failed,5,55.63,False,"{""cv2"": ""4.5.4"", ""dlib"": ""19.19"", ""imutils"": ""0.5.3""}",no_matching_distribution
/gists/05aadb969e43788593d3/snippet.py,3.8,failed,5,59.47,False,"{""typing"": ""^3.10"", ""cerberus"": ""1.5.2"", ""attrs"": ""^21.4.0"", ""requests"": ""^2.28.1""}",no_matching_distribution
/gists/05bec6966701f720c3aa/snippet.py,3.8,failed,5,66.94,False,"{""requests"": ""2.28.2""}",no_matching_distribution
/gists/05ff99985269200cdc4854ddc04fa6e9/snippet.py,3.8,success,2,27.5,True,"{""lightgbm"": ""4.5.0"", ""numpy"": ""1.23.5""}",no_matching_distribution
/gists/0618f44dc5270f9a2be2826d0d933ed7/snippet.py,3.8,failed,5,85.01,True,"{""django"": ""3.1""}",module_not_found
/gists/06336eb10a1628850d6f/snippet.py,3.8,failed,5,63.1,False,"{""requests"": ""2.28.2""}",no_matching_distribution
/gists/06649145d7e6c4c147c02459fd2bc5af/snippet.py,3.8,failed,5,64.2,True,"{""animation"": ""0.0.7"", ""helpers"": ""0.2.0"", ""mobject"": ""0.2.0"", ""numpy"": ""1.23.5"", ""scene"": ""0.0.1"", ""topics"": ""0.9.8""}",no_matching_distribution
/gists/070c805d947bd17c7a19/snippet.py,3.8,failed,5,74.08,False,{},unknown
